Pipeline prepared. Device is cuda:0
Pipeline prepared. Device is cuda:0
Pipeline prepared. Device is cuda:0
[RESULT]: Train. Epoch: 58, loss: 0.01456
[RESULT]: Test. Epoch: 58, loss: 0.01894
[RESULT]: Train. Epoch: 59, loss: 0.01444
[RESULT]: Test. Epoch: 59, loss: 0.01691
[RESULT]: Train. Epoch: 60, loss: 0.01523
[RESULT]: Test. Epoch: 60, loss: 0.01654
[RESULT]: Train. Epoch: 61, loss: 0.02084
[RESULT]: Test. Epoch: 61, loss: 0.02461
[RESULT]: Train. Epoch: 62, loss: 0.01561
[RESULT]: Test. Epoch: 62, loss: 0.01539
[RESULT]: Train. Epoch: 63, loss: 0.01488
[RESULT]: Test. Epoch: 63, loss: 0.01560
[RESULT]: Train. Epoch: 64, loss: 0.01477
[RESULT]: Test. Epoch: 64, loss: 0.01537
[RESULT]: Train. Epoch: 65, loss: 0.01554
[RESULT]: Test. Epoch: 65, loss: 0.01534
[RESULT]: Train. Epoch: 66, loss: 0.01450
[RESULT]: Test. Epoch: 66, loss: 0.01573
[RESULT]: Train. Epoch: 67, loss: 0.01535
[RESULT]: Test. Epoch: 67, loss: 0.01819
[RESULT]: Train. Epoch: 68, loss: 0.01372
[RESULT]: Test. Epoch: 68, loss: 0.01652
[RESULT]: Train. Epoch: 69, loss: 0.01526
[RESULT]: Test. Epoch: 69, loss: 0.01533
